Date,Notes,Zip_76574,Zip_78605,Zip_78610,Zip_78612,Zip_78613,Zip_78615,Zip_78616,Zip_78617,Zip_78620,Zip_78621,Zip_78626,Zip_78628,Zip_78634,Zip_78640,Zip_78641,Zip_78642,Zip_78644,Zip_78645,Zip_78652,Zip_78653,Zip_78654,Zip_78660,Zip_78663,Zip_78664,Zip_78665,Zip_78669,Zip_78681,Zip_78701,Zip_78702,Zip_78703,Zip_78704,Zip_78705,Zip_78712,Zip_78717,Zip_78719,Zip_78721,Zip_78722,Zip_78723,Zip_78724,Zip_78725,Zip_78726,Zip_78727,Zip_78728,Zip_78729,Zip_78730,Zip_78731,Zip_78732,Zip_78733,Zip_78734,Zip_78735,Zip_78736,Zip_78737,Zip_78738,Zip_78739,Zip_78741,Zip_78742,Zip_78744,Zip_78745,Zip_78746,Zip_78747,Zip_78748,Zip_78749,Zip_78750,Zip_78751,Zip_78752,Zip_78753,Zip_78754,Zip_78756,Zip_78757,Zip_78758,Zip_78759,FID
2020/04/16 17:00:00+00,,0,1,3,1,4,0,0,25,1,2,1,0,2,3,1,0,0,3,1,16,0,57,0,4,0,4,0,40,17,36,55,56,0,5,0,7,6,17,22,10,4,9,15,6,2,22,6,9,12,6,3,6,14,7,71,1,71,29,36,29,80,12,10,16,43,28,4,4,18,47,17,134
2020/04/17 17:00:00+00,,0,1,3,2,5,0,0,26,1,4,2,0,2,4,1,0,0,3,1,19,0,61,0,4,0,4,0,42,16,36,60,55,0,5,1,7,6,18,25,12,4,9,16,6,2,22,7,9,12,6,4,6,14,7,77,2,71,29,37,32,83,14,10,16,47,30,4,4,18,51,17,135
2020/04/18 17:00:00+00,,0,0,4,1,5,0,1,24,1,6,2,0,2,4,1,0,0,3,1,19,0,54,0,6,0,4,0,73,18,35,55,54,0,4,1,7,6,18,21,11,5,10,15,6,2,26,8,9,10,6,4,5,13,7,77,1,68,29,38,29,81,13,9,15,42,31,5,4,22,52,16,136
2020/04/19 17:00:00+00,,0,1,3,2,5,0,1,26,1,6,2,0,2,5,1,0,0,3,1,22,0,67,0,4,0,4,0,40,18,36,59,55,0,5,1,7,6,20,27,12,4,9,16,6,3,24,7,9,12,6,4,6,14,7,81,2,69,29,37,32,86,14,10,16,46,31,5,4,21,56,17,137
2020/04/20 17:00:00+00,,0,1,3,2,4,0,1,29,1,7,2,0,2,6,1,0,0,3,1,23,0,68,0,4,0,4,0,33,18,34,62,55,0,5,1,9,6,26,29,13,4,9,16,6,3,24,7,9,12,7,4,5,14,9,89,2,73,29,37,32,88,18,10,16,46,36,8,4,24,61,17,138
2020/04/21 17:00:00+00,,0,0,3,2,4,0,2,31,1,9,0,0,2,6,1,0,0,3,1,23,0,74,0,4,0,4,0,33,19,36,62,55,0,5,1,12,6,27,31,14,5,9,18,7,4,24,7,10,12,7,4,5,14,9,95,2,80,30,38,35,91,18,10,17,51,38,8,4,24,64,17,139
2020/04/22 17:00:00+00,,0,1,3,1,4,0,1,31,1,9,3,0,3,6,1,0,0,3,1,23,0,74,0,4,0,4,0,33,19,36,65,55,0,5,1,12,6,28,34,15,5,9,17,6,4,24,7,10,12,7,4,5,14,9,104,2,81,33,38,36,92,18,10,18,52,41,9,5,24,67,17,140
2020/04/23 17:00:00+00,,0,0,3,1,2,0,0,29,0,8,0,0,1,0,1,0,0,3,0,23,0,77,0,5,0,2,0,34,21,36,65,57,0,3,0,13,6,29,36,15,5,9,17,3,4,24,7,10,11,6,4,4,14,9,109,2,87,34,39,36,103,18,10,18,55,46,9,5,24,72,16,141
2020/04/24 17:00:00+00,,0,0,3,1,2,0,1,28,1,8,2,0,1,1,2,0,0,3,0,23,0,80,0,5,0,3,0,33,22,38,69,57,0,3,0,14,6,30,41,16,6,10,18,3,4,27,7,10,11,8,4,4,14,9,120,2,90,36,41,37,115,18,10,18,56,52,9,5,24,75,16,142
2020/04/25 17:00:00+00,,0,0,3,1,2,0,1,28,1,10,1,0,1,1,2,0,0,3,0,23,0,80,0,5,0,3,0,34,22,38,68,58,0,3,0,14,6,32,41,16,6,11,18,3,4,27,7,10,11,8,4,4,15,9,122,2,90,36,40,37,115,18,10,18,57,52,9,5,24,78,17,143
